Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News Full,AddRandomCharsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,AddRandomCharsNoise,LightGBMRoberta,0.7077631578947369,0.7060301807200129,0.7120925207756231,0.7077631578947369
AG News Full,AddRandomCharsNoise,RandomForest,0.49526315789473685,0.5082291889156295,0.6168506925207756,0.49526315789473685
AG News Full,AddRandomCharsNoise,SVM,0.5993421052631579,0.6021191402577767,0.6157256925207757,0.5993421052631579
AG News Full,AddRandomCharsNoise,SVMRoberta,0.8263157894736842,0.825346718864274,0.8274543628808865,0.8263157894736842
AG News Full,AddRandomCharsNoise,XGBoost,0.3539473684210526,0.36423724200817514,0.42957631578947364,0.3539473684210526
AG News Full,AddRandomCharsNoise,XGBoostRoberta,0.6378947368421053,0.6367701357699765,0.6562896121883656,0.6378947368421053
AG News Full,AddRandomWordsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,AddRandomWordsNoise,LightGBMRoberta,0.7230263157894737,0.7220141915107766,0.7242418975069252,0.7230263157894737
AG News Full,AddRandomWordsNoise,RandomForest,0.53,0.5374938199005257,0.6041518005540166,0.53
AG News Full,AddRandomWordsNoise,SVM,0.626578947368421,0.6288030055781413,0.6411337257617729,0.626578947368421
AG News Full,AddRandomWordsNoise,SVMRoberta,0.83,0.8295730746295038,0.8307036011080333,0.83
AG News Full,AddRandomWordsNoise,XGBoost,0.3828947368421053,0.3879534267829513,0.4237725069252078,0.3828947368421053
AG News Full,AddRandomWordsNoise,XGBoostRoberta,0.6610526315789473,0.6593719932585527,0.6654646814404432,0.6610526315789473
AG News Full,DeleteRandomWordsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,DeleteRandomWordsNoise,LightGBMRoberta,0.7303947368421052,0.7300580200031268,0.7387063711911358,0.7303947368421052
AG News Full,DeleteRandomWordsNoise,RandomForest,0.49144736842105263,0.5040410670745075,0.6145990304709142,0.49144736842105263
AG News Full,DeleteRandomWordsNoise,SVM,0.5947368421052631,0.5972233769443956,0.6114226454293629,0.5947368421052631
AG News Full,DeleteRandomWordsNoise,SVMRoberta,0.8269736842105263,0.8270463568757419,0.8302989612188365,0.8269736842105263
AG News Full,DeleteRandomWordsNoise,XGBoost,0.35618421052631577,0.3673549533184096,0.4345608725761773,0.35618421052631577
AG News Full,DeleteRandomWordsNoise,XGBoostRoberta,0.6815789473684211,0.6809543855005579,0.6812442520775623,0.6815789473684211
AG News Full,NoNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,NoNoise,LightGBMRoberta,0.7503947368421052,0.7492342773286773,0.7511659972299168,0.7503947368421052
AG News Full,NoNoise,RandomForest,0.5321052631578947,0.5399547589313216,0.6105832409972299,0.5321052631578947
AG News Full,NoNoise,SVM,0.6331578947368421,0.6350523678043211,0.6458157894736842,0.6331578947368421
AG News Full,NoNoise,SVMRoberta,0.8355263157894737,0.8352486940455016,0.8355276315789474,0.8355263157894737
AG News Full,NoNoise,XGBoost,0.3821052631578947,0.3877589275817845,0.4256452216066482,0.3821052631578947
AG News Full,NoNoise,XGBoostRoberta,0.694078947368421,0.6934666780380245,0.6997547783933519,0.694078947368421
AG News Full,ReplaceWithAntonymsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,ReplaceWithAntonymsNoise,LightGBMRoberta,0.6630263157894737,0.6637503112501086,0.6995912049861496,0.6630263157894737
AG News Full,ReplaceWithAntonymsNoise,RandomForest,0.5310526315789473,0.5392781334313017,0.6126847645429363,0.5310526315789473
AG News Full,ReplaceWithAntonymsNoise,SVM,0.633421052631579,0.6353511051856364,0.6458023545706372,0.633421052631579
AG News Full,ReplaceWithAntonymsNoise,SVMRoberta,0.8184210526315789,0.8180491081034227,0.8343407202216065,0.8184210526315789
AG News Full,ReplaceWithAntonymsNoise,XGBoost,0.3838157894736842,0.38957870980022646,0.4284828254847645,0.3838157894736842
AG News Full,ReplaceWithAntonymsNoise,XGBoostRoberta,0.5848684210526316,0.5876942948220135,0.6577168282548477,0.5848684210526316
AG News Full,ReplaceWithSynonymsNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,ReplaceWithSynonymsNoise,LightGBMRoberta,0.661578947368421,0.6622906324409387,0.6966533240997229,0.661578947368421
AG News Full,ReplaceWithSynonymsNoise,RandomForest,0.5253947368421052,0.5339115009191249,0.6122864265927978,0.5253947368421052
