Dataset,Noise,Model,ARI Score,Topics Coherence,Cosine Similarity,Reconstruction Error
BBC News Full,AddRandomCharsNoise,LDA_4,0.06254013503344757,0.44144668822073774,0.3031020647230367,
BBC News Full,AddRandomCharsNoise,LSI_4,0.03102265470161585,0.611403684739634,0.5981207751814198,
BBC News Full,AddRandomCharsNoise,NMF_4,0.5857041988078581,0.74743448366534,0.4372951841278017,32.26193019491037
BBC News Full,AddRandomWordsNoise,LDA_4,0.11870797685172332,0.37726299223915877,0.3476099589432394,
BBC News Full,AddRandomWordsNoise,LSI_4,0.02219565891990337,0.5982870646975784,0.6187293444930917,
BBC News Full,AddRandomWordsNoise,NMF_4,0.5445638737481912,0.7379050323047376,0.4641032361091783,32.132868893694415
BBC News Full,DeleteRandomWordsNoise,LDA_4,0.41134491301276155,0.4856147354893196,0.39744473257941626,
BBC News Full,DeleteRandomWordsNoise,LSI_4,0.03239277696718303,0.6601572428437564,0.5914735425321943,
BBC News Full,DeleteRandomWordsNoise,NMF_4,0.619371711924218,0.7724401741198228,0.43919595329269084,31.996379791821198
BBC News Full,NoNoise,LDA_4,0.46224174050056294,0.5174607857200269,0.3771859726511318,
BBC News Full,NoNoise,LSI_4,0.03457842368171442,0.644323092227881,0.5911271411034399,
BBC News Full,NoNoise,NMF_4,0.5621144588535069,0.7647976088089283,0.45346084477354365,31.913832353561908
BBC News Full,ReplaceWithAntonymsNoise,LDA_4,0.43501812724005845,0.475488682103678,0.3740422687415221,
BBC News Full,ReplaceWithAntonymsNoise,LSI_4,0.033625609071895386,0.6491474539625535,0.5920945587229884,
BBC News Full,ReplaceWithAntonymsNoise,NMF_4,0.5570273650331939,0.765200563519905,0.45377729435209396,31.923382793551127
BBC News Full,ReplaceWithSynonymsNoise,LDA_4,0.46252786236287313,0.5277904498445859,0.37070333240950015,
BBC News Full,ReplaceWithSynonymsNoise,LSI_4,0.03192321210290713,0.6606932485332817,0.599204117731844,
BBC News Full,ReplaceWithSynonymsNoise,NMF_4,0.6196005523963015,0.7641438223828779,0.44185766086198114,31.966317026514588
BBC News Full,ShuffleSentencesNoise,LDA_4,0.46224174050056294,0.5249381984877728,0.3771859726511318,
BBC News Full,ShuffleSentencesNoise,LSI_4,0.03457842368171442,0.6481821901172475,0.5911271411034401,
BBC News Full,ShuffleSentencesNoise,NMF_4,0.5621144588535069,0.7626789313384739,0.45346084477354354,31.913832353561908
