Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News Full,NoNoise,LightGBM,0.2,0.33,1.0,0.2
AG News Full,NoNoise,LightGBMRoberta,0.4,0.36,0.33,0.4
AG News Full,NoNoise,RandomForest,0.8,0.89,1.0,0.8
AG News Full,NoNoise,RandomForestRoberta,0.4,0.36,0.33,0.4
AG News Full,NoNoise,SVM,0.8,0.87,1.0,0.8
AG News Full,NoNoise,SVMRoberta,0.4,0.36,0.33,0.4
AG News Full,NoNoise,XGBoost,0.2,0.16,0.13,0.2
AG News Full,NoNoise,XGBoostRoberta,0.6,0.6,0.6,0.6
AG News LLM labels,NoNoise,LightGBM,0.0,0.0,0.0,0.0
AG News LLM labels,NoNoise,LightGBMRoberta,0.6,0.5,0.47,0.6
AG News LLM labels,NoNoise,RandomForest,0.2,0.2,0.2,0.2
AG News LLM labels,NoNoise,RandomForestRoberta,0.2,0.2,0.2,0.2
AG News LLM labels,NoNoise,SVM,0.0,0.0,0.0,0.0
AG News LLM labels,NoNoise,SVMRoberta,0.4,0.36,0.33,0.4
AG News LLM labels,NoNoise,XGBoost,0.2,0.2,0.2,0.2
AG News LLM labels,NoNoise,XGBoostRoberta,0.4,0.3,0.27,0.4
BBC News Full,NoNoise,LightGBM,0.2,0.08,0.05,0.2
BBC News Full,NoNoise,LightGBMRoberta,0.4,0.27,0.2,0.4
BBC News Full,NoNoise,RandomForest,1.0,1.0,1.0,1.0
BBC News Full,NoNoise,RandomForestRoberta,0.8,0.8,0.8,0.8
BBC News Full,NoNoise,SVM,1.0,1.0,1.0,1.0
BBC News Full,NoNoise,SVMRoberta,1.0,1.0,1.0,1.0
BBC News Full,NoNoise,XGBoost,1.0,1.0,1.0,1.0
BBC News Full,NoNoise,XGBoostRoberta,0.6,0.47,0.4,0.6
