Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News Full,AddRandomCharsNoise,LightGBM,0.2,0.33333333333333337,1.0,0.2
AG News Full,AddRandomCharsNoise,LightGBMRoberta,0.3,0.36190476190476195,0.4666666666666666,0.3
AG News Full,AddRandomCharsNoise,RandomForest,0.8,0.8044444444444444,0.8833333333333332,0.8
AG News Full,AddRandomCharsNoise,SVM,0.7,0.7777777777777778,0.9,0.7
AG News Full,AddRandomCharsNoise,SVMRoberta,0.5,0.5214285714285715,0.5833333333333333,0.5
AG News Full,AddRandomCharsNoise,XGBoost,0.4,0.3888888888888889,0.4,0.4
AG News Full,AddRandomCharsNoise,XGBoostRoberta,0.4,0.44000000000000006,0.5,0.4
AG News Full,AddRandomWordsNoise,LightGBM,0.2,0.33333333333333337,1.0,0.2
AG News Full,AddRandomWordsNoise,LightGBMRoberta,0.3,0.3285714285714286,0.36666666666666664,0.3
AG News Full,AddRandomWordsNoise,RandomForest,0.7,0.6766666666666666,0.7833333333333333,0.7
AG News Full,AddRandomWordsNoise,SVM,0.7,0.7730158730158732,0.8666666666666666,0.7
AG News Full,AddRandomWordsNoise,SVMRoberta,0.5,0.5152380952380953,0.5666666666666667,0.5
AG News Full,AddRandomWordsNoise,XGBoost,0.4,0.4,0.4,0.4
AG News Full,AddRandomWordsNoise,XGBoostRoberta,0.6,0.6619047619047619,0.7416666666666666,0.6
AG News Full,DeleteRandomWordsNoise,LightGBM,0.2,0.33333333333333337,1.0,0.2
AG News Full,DeleteRandomWordsNoise,LightGBMRoberta,0.4,0.42857142857142866,0.5166666666666666,0.4
AG News Full,DeleteRandomWordsNoise,RandomForest,0.7,0.6766666666666666,0.7833333333333333,0.7
AG News Full,DeleteRandomWordsNoise,SVM,0.6,0.6357142857142858,0.7916666666666666,0.6
AG News Full,DeleteRandomWordsNoise,SVMRoberta,0.6,0.5914285714285714,0.6,0.6
AG News Full,DeleteRandomWordsNoise,XGBoost,0.5,0.5066666666666666,0.5666666666666667,0.5
AG News Full,DeleteRandomWordsNoise,XGBoostRoberta,0.5,0.5222222222222223,0.55,0.5
AG News Full,NoNoise,LightGBM,0.2,0.33333333333333337,1.0,0.2
AG News Full,NoNoise,LightGBMRoberta,0.4,0.3952380952380953,0.41666666666666663,0.4
AG News Full,NoNoise,RandomForest,0.8,0.8044444444444444,0.8833333333333332,0.8
AG News Full,NoNoise,SVM,0.7,0.7777777777777778,0.9,0.7
AG News Full,NoNoise,SVMRoberta,0.5,0.5,0.5,0.5
AG News Full,NoNoise,XGBoost,0.4,0.4,0.4,0.4
AG News Full,NoNoise,XGBoostRoberta,0.5,0.5285714285714287,0.5666666666666667,0.5
AG News Full,ReplaceWithAntonymsNoise,LightGBM,0.2,0.33333333333333337,1.0,0.2
AG News Full,ReplaceWithAntonymsNoise,LightGBMRoberta,0.7,0.7,0.725,0.7
