Dataset,Noise,Model,ARI Score,Topics Coherence,Cosine Similarity,Reconstruction Error
AG News Full,AddRandomCharsNoise,LDA_4,0.014475654845657717,0.3917184764912168,0.3037346777346356,
AG News Full,AddRandomCharsNoise,LSI_4,0.005700131529569772,0.5715524284368898,0.6651420755206074,
AG News Full,AddRandomCharsNoise,NMF_4,0.22204982223561498,0.6629123253870076,0.5940129118016895,86.62728245494098
AG News Full,AddRandomWordsNoise,LDA_4,0.024949745955547303,0.4080297081845643,0.3443862559497256,
AG News Full,AddRandomWordsNoise,LSI_4,0.005123957687775303,0.6175298662303246,0.6231527497591461,
AG News Full,AddRandomWordsNoise,NMF_4,0.18282453714391228,0.6840191892142906,0.6258755860708752,86.55319557320027
AG News Full,DeleteRandomWordsNoise,LDA_4,0.3180870589309495,0.5129599250107532,0.38836503495946334,
AG News Full,DeleteRandomWordsNoise,LSI_4,0.006586040504430476,0.5611175025388142,0.5700231591785095,
AG News Full,DeleteRandomWordsNoise,NMF_4,0.3526054185419826,0.6871280996014977,0.46886379211258994,86.39921637517219
AG News Full,NoNoise,LDA_4,0.15471888045807308,0.5336868455090926,0.3893244759019032,
AG News Full,NoNoise,LSI_4,0.11134767794495651,0.631263547809811,0.5643098305187472,
AG News Full,NoNoise,NMF_4,0.40505035116278554,0.7225958953060797,0.4739021456957557,86.28456028949256
AG News Full,ReplaceWithAntonymsNoise,LDA_4,0.13681900901886634,0.42933317517066005,0.4065718114867283,
AG News Full,ReplaceWithAntonymsNoise,LSI_4,0.03332685903729819,0.6198560383401894,0.6643742053241208,
AG News Full,ReplaceWithAntonymsNoise,NMF_4,0.20996570915580892,0.7011978203053494,0.6039809725126019,86.18229681557993
AG News Full,ReplaceWithSynonymsNoise,LDA_4,0.30354766486673923,0.4568902248326666,0.40893538210047287,
AG News Full,ReplaceWithSynonymsNoise,LSI_4,0.037065308606134405,0.6007897030232252,0.6674081577761249,
AG News Full,ReplaceWithSynonymsNoise,NMF_4,0.20723003605032025,0.6959964943691772,0.6065261089705403,86.21949393407762
AG News Full,ShuffleSentencesNoise,LDA_4,0.15471888045807308,0.5336868455090926,0.3893244759019032,
AG News Full,ShuffleSentencesNoise,LSI_4,0.11134767794495651,0.631263547809811,0.564309830518747,
AG News Full,ShuffleSentencesNoise,NMF_4,0.40505035116278554,0.7225958953060797,0.473902145695756,86.28456028949256
